Mensaje,Clasificación,,,,,,,,,,,,,,,,,
Muy bien Sr. Almada  bendiciones Usted es una persona de Fe,1,,,,,,,,,,,,,,,,,
Así es Gustavo primero Dios puro padelante,1,,,,,,,,,,,,,,,,,
Excelente intervención Ingeniero Almada !!....,1,,,,,,,,,,,,,,,,,
Millones y millones de bendiciones,1,,,,,,,,,,,,,,,,,
Muy bien 👍🏼,1,,,,,,,,,,,,,,,,,
👍 echele ganas gustavo..,1,,,,,,,,,,,,,,,,,
"BENDICIONES SR. ALMADA !!!!!!!! 
LE FELICITO, POR TENER A MI GRAN DIOS, EN SU VIDA...... 
YO CREO QUE LA VIDA SIN FE,  NO ES VIDA!!!!!!!! 
Y,1",,,,,,,,,,,,,,,,,,
🙄,0,,,,,,,,,,,,,,,,,
felicidades a GAB por traer a estos jóvenes a cajeme, que donde s3a que se pr3swntan amarran eslabones para la gran cadena de MC , la capaci,0,,,,,,,,,,,,,,,
Que bien por movimiento ciudadano y Gustavo Almada  dar espacios a jovenes con iniciativa en la politica y que son realmente los que vienen ,1,,,,,,,,,,,,,,,,,
Hemos tocado fondo en lo económico, seguridad,falta de empleo, la ciudad se a estancado, no hay un crecimiento en industrial , los jóvenes s,-1,,,,,,,,,,,,
Todo político primero es un ciudadano, no se porque se ha distorsionado ese Concepto en los actuales gobiernos, eso va cambiar con esté movi,1,,,,,,,,,,,,,,,
No todo está perdido México y Cajeme pueden ser como lo necesitamos con esta juventud comprometida en contra de la corrupción y con Gustavo ,1,,,,,,,,,,,,,,,,,
Gran equipo de ciudadanos comprometidos con México y en Cajeme bien representado por Gustavo Almada,1,,,,,,,,,,,,,,,,,
Excelentes ideas Jóvenes de todo el equipo y muchas ganas de sacar adelante a Mexico 👍👍👍,1,,,,,,,,,,,,,,,,,
Excelente evento y muy bien organizado bastante gente y no hubo gente acarreadas 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,1,,,,,,,,,,,,,,,,,
Son una nueva generación de personas que quieren un vien común, con nuevas estrategias, honestas y donde queda demostrado que si se puede go,1,,,,,,,,,,,,,,,
Excelente video, que orgullo pertenecer a este equipo¡,1,,,,,,,,,,,,,,,,
Excelente evento, lleno total sin accarreos ni tortas,1,,,,,,,,,,,,,,,,
Bien*,1,,,,,,,,,,,,,,,,,
Me encanto,1,,,,,,,,,,,,,,,,,
Que bien Sr. Gustavo Almada, Ud. siempre apoyando e impulsando el deporte en Cajeme.,1,,,,,,,,,,,,,,,,
Y esta Liga de donde Salió, que equipos juegan y donde y ha que horas juegan?...,1,,,,,,,,,,,,,,,,
Wao! Bien por los jóvenes tache por usted! Cuando se tome fotos procure que sea con gente ejemplar y de buena reputación!! Vamos por el camb,1,,,,,,,,,,,,,,,,,
Tan ganado que tenia mi voto sr. Almada!! Pero bien dice el dicho dime con quien andas y te dire quien eres!!   Le deceo la mayor suerte! En,1,,,,,,,,,,,,,,,,,
Muy bien Sr. Gustavo Almada mucho padelante y a rajarle con todo 💪🏻👊🏻,1,,,,,,,,,,,,,,,,,
A poner el nombre de CAJEME en lo alto!!!!,1,,,,,,,,,,,,,,,,,
Eso amigo ! Saludos,1,,,,,,,,,,,,,,,,,
"HECHELE PA"" DELANTE.,1",,,,,,,,,,,,,,,,,,
Mucha suerte con el inicio de tu campaña Verónica Montoya! Puro pa delante!,1,,,,,,,,,,,,,,,,,
La típica foto solo sosteniendo la planta jajajja,-1,,,,,,,,,,,,,,,,,
Verónica es una ciudadana que va a darle nuevos aires a la forma de hacer política, que realmente beneficie a los ciudadanos.,1,,,,,,,,,,,,,,,,
Se puede mejorar, solo necesitamos estar todos los cajemenses juntos💪,1,,,,,,,,,,,,,,,,
Ala presidencia de La República por AMLO  en cajeme por Movimiento ciudadano  ☺😊,1,,,,,,,,,,,,,,,,,
A cortar la Mano que firma el Cheque... nada de quitarle la pluma !!,0,,,,,,,,,,,,,,,,,
"Son unos changos ,lo que miran quieren hacer ,esa iniciativa esta desde el 2006 y es de “Ya Sabes quien"",-1",,,,,,,,,,,,,,,,,,
Aun mas, señor Almada, se robaron nuestro dinero de las Afores para construir el nuevo aeropuerto de la ciudad de México, ese dinero es sagr,-1,,,,,,,,,,,,,,
Pinches ratas no tienen perdon, ademas de ke dejaron temblando el pais dejandolo en la ruina y no se cansan de robar.,-1,,,,,,,,,,,,,,,,
Que barbaro. Seguir manteniendo a personas k nunca hicieron nada x nosotros x k como trabajadores. A nosotros cada año nos aumentan 7 o dies,-1,,,,,,,,,,,,,,,,,
Mis respetos a usted pero el partido perdió lo ciudadano aliándose con el pan. Dudo que Anaya apoye esta moción.,-1,,,,,,,,,,,,,,,,,
Estamos con usted Don Gustavo puro PaDelante con   Movimiento ciudadano!!,1,,,,,,,,,,,,,,,,,
Vale madre lo que cuestan. Comparado con lo que están robando los actuales,-1,,,,,,,,,,,,,,,,,
Y mientras tanto ,los que si trabajan les dan una pension miserable .,-1,,,,,,,,,,,,,,,,
Ni un peso más a expresidentes!!...,-1,,,,,,,,,,,,,,,,,
Esa propuesta de López Obrador qué bien qué copien lo bueno,1,,,,,,,,,,,,,,,,,
Es falso salinas , y zedillo renunciaron a su pension,0,,,,,,,,,,,,,,,,
POR USTED, BIEN VALE LA PENA, APOYARLE.... CREO QUE LOS CAJEMENSES MERECEN UN CAMBIO REAL, PARA BIEN !!!!!!!!!,1,,,,,,,,,,,,,,
AQUÍ,  EN GUAYMAS.... NO VALE LA PENA, APOYARLE AL PARTIDO MOVIMIENTO CIUDADANO..... ACLARO, NO ES EL PARTIDO, SON LAS PERSONAS, QUE SE ESTÁ,1,,,,,,,,,,,,
Wevones k no les den nada,-1,,,,,,,,,,,,,,,,,
Totalmente de acuerdo. Necesitamos fomentar la cultura de la limpieza. Ya es hora de tener una  Ciudad limpia y decorosa, como lo fue hace a,1,,,,,,,,,,,,,,,,
La verdad  es grande la indiferencia de las personas  ante tanta suciedad. Ayer veo a un vecino subir al carro llevando un platano ,pasa fre,1,,,,,,,,,,,,,,,,
Muy cierto, la basura que te llevas es la basura que tienes que traer de vuelta,-1,,,,,,,,,,,,,,,,
Que triste, cambiar es responsabilidad de todos #PorqueCajemeNoSeRinde,-1,,,,,,,,,,,,,,,,
BENDICIONES SR. ALMADA.,1,,,,,,,,,,,,,,,,,
"REALMENTE MI GRAN DIOS.... HA CONTRIBUIDO FUERTEMENTE EN LA CREACIÓN DE LA DIVERSIDAD DE ANIMALES..... 
SIN EMBARGO....
LA CRUELDAD EXISTE E,1",,,,,,,,,,,,,,,,,,
Que tristeza que nosotros mismos estemos acabando con nuestro medio ambiente, nos falta tomar una mayor conciencia.,-1,,,,,,,,,,,,,,,,
Igualmente Dios lo bendiga en esta semana santa! Que tenga un hermoso jueves santo....,1,,,,,,,,,,,,,,,,,
Gracias señor, igualmente...,1,,,,,,,,,,,,,,,,
Animo puro padelante,1,,,,,,,,,,,,,,,,,
Si gracias yo en Querétaro,1,,,,,,,,,,,,,,,,,
Vámonos para mi pueblito Cocorit,1,,,,,,,,,,,,,,,,,
"SR. ALMADA, 1
NO TODOS SALIMOS DE VACACIONES.... ESPECIALMENTE, EN ESTOS DÍAS DE GUARDAR... TRABAJAMOS...Y NOS QUEDAMOS EN CASA, P CUIDAR....,-1",,,,,,,,,,,,,,,,,,
PERO IGUAL,  GRANDES BENDICIONES, PARA TODOS !!!!!!,1,,,,,,,,,,,,,,,
Gracias e igualmente para ti y toda tu familia Amigo,1,,,,,,,,,,,,,,,,,
Puro pa'delante!🎶🎶🎶,1,,,,,,,,,,,,,,,,,
Muchas gracias Don Gustavo, por compartir, ay que ir a comer a Cocorit!! Saludos y que tenga un hermoso día....,1,,,,,,,,,,,,,,,
"TENGAN UN EXCELENTE DÍA, Y BUEN PROVECHO!!!!!!! 
SALUDOS P, USTED Y FAMILIA...,1",,,,,,,,,,,,,,,,,,
Que rico!! Me lo antojaste gracias x compartir tradiciones y lo mejor la receta,,,,,,,,,,,,,,,,,,
¡ Jaisi' ani Kuunak u em wai!¡ Jaba aman wete !😏 y saludos a mi amiga Lucy de Tajimaroa de las meras meras Yaquis.,0,,,,,,,,,,,,,,,,,
Que rico, acompañado de unas tortillas sobaqueras !,0,,,,,,,,,,,,,,,,
Que delicia ya se me antojó ¡¡,0,,,,,,,,,,,,,,,,,
A poco lo conoces?,0,,,,,,,,,,,,,,,,,
Dios enchaniabu achai 👍✌️,0,,,,,,,,,,,,,,,,,
"SR.  ALMADA..... 
QUIERO PENSAR, COMO EXCELENTE ESPOSA.... QUE LA SRA.  BETTY, YA TIENE EN PROCESO TODO LISTO P, COCINARLE....,0",,,,,,,,,,,,,,,,,,
De niña vivi muy cerca de 2 pueblitos yaquis el tapiro y el tetabiate .. me gustaba mucho visitarlos,  siempre nos invitaban a comer frijol ,0,,,,,,,,,,,,,,,,
Pariente me da gusto que usted se identifique con la danza del venado y sienta que por sus venas corra sangre yaqui y lo sienta de corazón y,0,,,,,,,,,,,,,,,,,
Un orgullo nuestras raíces Sr. Gustavo Almada.,1,,,,,,,,,,,,,,,,,
BENDICIONES!!!!!!,1,,,,,,,,,,,,,,,,,
"SR. ALMADA!!!!! 
NO PUEDE FALTAR, ESTE ICONO CLÁSICO DE SONORA, SÍMBOLO DE NUESTRA GENTE... 
ME SIENTO ORGULLOSA, DE SER SONORENSE... PARA M,1",,,,,,,,,,,,,,,,,,
De nuestras raices el juramento...  Kaita,1,,,,,,,,,,,,,,,,,
"Hola Betty te recuerdo con mucho cariño desde pequeña les deseo éxito y que Gustavo triunfe en esta contienda. 
Con todo mi cariño 
Paola Sa,1",,,,,,,,,,,,,,,,,,
Cuando están tan seguros del triunfo desprecian a las os líderes pero nos vemos en la primer semana de julio Gustavo..,1,,,,,,,,,,,,,,,,,
Dios le da a sus mejores  guerreros sus mejores batallas, así que Dios con Gustavo quien dijo miedo , felicidades GAB Y FAMILIA,1,,,,,,,,,,,,,,,
Recibiendo una bendicion mas para fortalecer el proyecto que viene. Encabezar como presidente un municipio tan abandonado nuestro querido Ca,1,,,,,,,,,,,,,,,,,
Sí Sr Almada pida por Cajeme está de terror,y que le dé la bendición por que será el próximo alcalde cfd,1,,,,,,,,,,,,,,,,
Disfrute sus vacaciones señor Almada, que se necesitan para cargar energia,1,,,,,,,,,,,,,,,,
Ese mi Gustavo...vecino de toda la vida....abrazo y pa' delante,1,,,,,,,,,,,,,,,,,
Claro k si señor con favor d dios saldremos triunfantes cuidensen y todo pa adelante,1,,,,,,,,,,,,,,,,,
Dios los bendiga y que disfruten su paseó, puro PaDelante Don Gustavo!!,1,,,,,,,,,,,,,,,,
Eche pa .delante Gustavo Almada.. Aquí lo esperamos.los cajemenses,1,,,,,,,,,,,,,,,,,
Disfruta cajeme te espera,1,,,,,,,,,,,,,,,,,
Bendiciones abrazo saludos,1,,,,,,,,,,,,,,,,,
Dios me lo bendiga...,1,,,,,,,,,,,,,,,,,
Claro que si ganaremos bendiciones señor gustavo 😘,1,,,,,,,,,,,,,,,,,
Todo para delante Gustavo lo apoyamos,1,,,,,,,,,,,,,,,,,
Bendiciones amigo Gustavo y sra de Almada,1,,,,,,,,,,,,,,,,,
GRANDES BENDICIONES!!!!!!!,1,,,,,,,,,,,,,,,,,
"Hermosa
Foto,1",,,,,,,,,,,,,,,,,,
Feliz viaje mil bendiciones,1,,,,,,,,,,,,,,,,,
"""Te Veo"",1",,,,,,,,,,,,,,,,,,
Puro padelante GUSTAVO,1,,,,,,,,,,,,,,,,,
👍🏻🙏🏻😘,0,,,,,,,,,,,,,,,,,
"TODO EN FAMILIA, ES MEJOR !!!!! 
CON LOS AMIGOS VERDADEROS, SIN DUDA ALGÚNA LO MÁXIMO, CONVIVIR TIEMPOS CON ELLOS, ES LO CLÁSICO !!!!!!!!!!!,1",,,,,,,,,,,,,,,,,,
Yo creo que ya empezó el miedo, y el evento religioso en la que estuviste ayer en donde se habló de la competencia sana ya se te olvido?🤔,-1,,,,,,,,,,,,,,,,
Independientes.... Ocupamos gente que los cuide,  decia Guillermo Barro en una ocasion que no se puede poner a un policia encima de otro pol,-1,,,,,,,,,,,,,,,,
Movimiento ciudadano está con anaya, es su gran  defecto ):,-1,,,,,,,,,,,,,,,,
Ahora los candidatos independientes vienen de varios partidos donde ya no les gustó el puesto que les darían, ya se enojaron con alguien más,-1,,,,,,,,,,,,,,,,
Los candidatos independientes realmente no garantizan absolutamente nada, la mayoría proviene de partidos que al negarles el derecho de comp,-1,,,,,,,,,,,,,,,,
El independiente de Cajeme es un lobo con piel de oveja, mucho cuidado,-1,,,,,,,,,,,,,,,,
Los independientes de Cajeme no son tan independientes, revisen su historial, de dnd vienen, con quien tienen negocios, quienes son sus padr,-1,,,,,,,,,,,,,
No creo que tengan algo de independientes los que se hacen llamar así en Cajeme.,-1,,,,,,,,,,,,,,,,,
"Ejemplo claro Rodrigo bours. Y sus colegas ""independientes"",-1",,,,,,,,,,,,,,,,,,
Eso de los independientes es cierto en casos muy específicos. Una gran parte de los aspirantes no alcanza las firmas y no todo el que las co,-1,,,,,,,,,,,,,,,,,
Al votar por un independiente podemos ejercer voto de castigo ya que el presupuesto de un partido político va de la mano con los votos perci,-1,,,,,,,,,,,,,,,,,
Mi apoyo para los independientes, las firmas de apoyo ciudadano avalan sus candidaturas. No como los partidos políticos que siempre aplican ,1,,,,,,,,,,,,,,,,
ja se disen independientes cuando toda su vida estuvieron de salganos en sus partidos y ahora que no los dejan y no los quieren se hacen ind,-1,,,,,,,,,,,,,,,,,
Roberto Gonzalez esto podría interesarte,-1,,,,,,,,,,,,,,,,,
Pues nosotros no vamos a ir tan lejos Gustavo aqui tambien tenemos la obra los Priselables cada dia se portan mas miserables con la ciudadan,1,,,,,,,,,,,,,,,,,
Feliz que nos acompañaran, ampliamente recomendable la obra , formidable,1,,,,,,,,,,,,,,,
Excelente obra literaria amigo, no me canso de leerla. Disfrutala en teatro!,-1,,,,,,,,,,,,,,,,
K chido k tanbien haya tiempo pa divertirse k bien saludos señor cuidensen,1,,,,,,,,,,,,,,,,,
Se ven felices, que padre, disfruten!!!Saludos!🤗,1,,,,,,,,,,,,,,,
Que padre que fueron.. un beso pásenla súper!!!,1,,,,,,,,,,,,,,,,,
Qué padre 👏🏻👏🏻saludos y pásenla bonito,1,,,,,,,,,,,,,,,,,
BENDICIONES SR. ALMADA Y ESPOSA!!!!!!!!,1,,,,,,,,,,,,,,,,,
Que disfruten mucho 👍🏻👍🏻,1,,,,,,,,,,,,,,,,,
Que padre. Saludos!,1,,,,,,,,,,,,,,,,,
A disfrutarla  pasenla bien,1,,,,,,,,,,,,,,,,,
como esta la obra???,1,,,,,,,,,,,,,,,,,
Que padre amiguitas,1,,,,,,,,,,,,,,,,,
q padre saludossss👍👍,1,,,,,,,,,,,,,,,,,
Fue un gusto asistir a esta buena charla de buenas propuestas y buenos cambios ya basta de tanto pisotearnos...los politicos nos tienen el p,1,,,,,,,,,,,,,,,,,
Gracias a Betty y a ti Gustavo Almada por tan excelente evento, de conocer estos jovenes donde se contagia sus ideales de cambiar este siste,1,,,,,,,,,,,,,,,,
"Debemos tener ese pensamiento crítico... aceptar nuestra parte en esto.
 No debemos aceptar algo que no esta bien ... pienso en mis hijos mi,1",,,,,,,,,,,,,,,,,,
Que gusto haber escuchado a estos jóvenes que luchan por un verdadero cambio para nuestro país, gracias por haberlos invitado Sr. Gustavo Al,1,,,,,,,,,,,,,,,,
Señor vamos con todo, excelente equipo, excelente ideología, ganas de trabajar de todos y lo mejor es que se tienen a los mejores para reali,1,,,,,,,,,,,,,,
Excelente noche y gran sabor de boca dejaron estos jóvenes el entusiasmo y las ganas de darle un rumbo diferente y adecuado para México es c,1,,,,,,,,,,,,,,,,,
De lujo!!! Gran inspiración ✨✨✨✨ Los ciudadanos tenemos el poder de cambiar las cosas. Vamos a involucrarlos, basta de ser espectadores!!,1,,,,,,,,,,,,,,,,
Excelente noche!!! .. Que gusto poder ser testigo de la ponencia de estos jóvenes.. Claro que podemos hacer el cambio que queremos para nues,1,,,,,,,,,,,,,,,,,
Gran noche y muy buena experiencia la que se vivió anoche en este gran evento, felicidades,1,,,,,,,,,,,,,,,,
Excelente evento, que ejemplo de jóvenes que están participando por mejorar su comunidad y al país,1,,,,,,,,,,,,,,,,
Jazz Coronel Preciosa, con lentes jajajajajaja faltan nuestras fotos,1,,,,,,,,,,,,,,,,
Hojala vuelvan a Venir Gustavo pero como Ganadores de la elección y por Supuesto tú Gustavo dios Mediante,1,,,,,,,,,,,,,,,,,
Gracias por darnos el espacio en este gran evento, felicidades saludos desde San Luis RC, Son.,1,,,,,,,,,,,,,,,
Muy buen evento Gustavo ojala se repitiera con la presencia de samuel,1,,,,,,,,,,,,,,,,,
Muy suave, invitados de lujo, 2 de ellos sembraron la semilla hace 3 años y ya están viendo los frutos 🍊🍊🍊,1,,,,,,,,,,,,,,,
Felicidades a todas y todos por el trabajo realizado!!....,1,,,,,,,,,,,,,,,,,
Excelente evento, y excelentes expositores, felicidades !!!,1,,,,,,,,,,,,,,,
Excelente trabajo. Animo!!!!,1,,,,,,,,,,,,,,,,,
Excelente evento, los expositores de Lujo 👍👍👍👍,1,,,,,,,,,,,,,,,,
Su imagen quien la guia?,,,,,,,,,,,,,,,,,,
"""Te Veo""
""Los Vi""
Excelente,1",,,,,,,,,,,,,,,,,,
👍 Excelente evento.,1,,,,,,,,,,,,,,,,,
Uhhhhhhh me lo perdí!,0,,,,,,,,,,,,,,,,,
"YO TE TENGO UNA PREGUNTA DE LA CUAL ESPERO RESPUESTA:
SI TANTO TÚ COMO ENRIQUE ESTRADA (QUE LO CONOZCO BIEN COMO UNA GRAN PERSONA) SON CANDI,0",,,,,,,,,,,,,,,,,,
"""no podemos esperar que una sola persona logre el cambio, necesitamos a una ciudadanía crítica y que participe"". 
Si no participa en el voto,0",,,,,,,,,,,,,,,,,,
Sus ideas son muy centradas!! Y creo que si se pueden realizar una limpieza de la corrupción, #todosunidosconunmismofin. #Ciudadanodespierta,1,,,,,,,,,,,,,,,,
Vamos Gustavo! Cajeme requiere a gritos el cambio para bien!,1,,,,,,,,,,,,,,,,,
Lamentablemente se respira sangre, corrupción y rezago en todo el municipio,-1,,,,,,,,,,,,,,,,
Mi hijo Mauricio y Donalfo son muy buenos amigos en Monterrey y dice mi hijo que Donaldo  es una excelente persona!,0,,,,,,,,,,,,,,,,,
Yo, en lo personal deseo que Cajeme cambié para bien, por eso voy a votar por movimiento ciudadano,1,,,,,,,,,,,,,,,
Gustavo muchas gracias por la invitacion, fue un gran evento y un placer convivir con los candidatos. Un Fuerte Abrazo!,1,,,,,,,,,,,,,,,,
Dios bendiga a este joven es verdad cajeme necesita despertar Unidos aremos el cambio bendiciones señor Almada,1,,,,,,,,,,,,,,,,,
Yo no se como van hacer el cambio en la politica aliados con el PAN para la presidencia no hay congruencia  con lo que piensan lo que dicen ,-1,,,,,,,,,,,,,,,,,
Nooooo me interesa que hubiera hecho el Sr colosio.. quiero saber que hará el.  Que deje de usar a su Sr padre para llegarle al pueblo. Que ,0,,,,,,,,,,,,,,,,,
si mi padre esto, si mi padre lo otro, que se deje de colgar de su papa y que haga algo por el mismo yo no votaría por el solo por que es hi,-1,,,,,,,,,,,,,,,
Gracias por invitarlos Gustavo fue una buena noche!!!,1,,,,,,,,,,,,,,,,,
Muchas felicidades mi inge! Vamos por todas las naranjas !! 🍊,1,,,,,,,,,,,,,,,,,
Urge cambio....Basta de inútiles jrs....,-1,,,,,,,,,,,,,,,,,
Asi es y puro para adelante,1,,,,,,,,,,,,,,,,,
Si tu padre viviera te diria ni te metas al prian se independiente,-1,,,,,,,,,,,,,,,,,
Eres de los almada de Carolina blok,0,,,,,,,,,,,,,,,,,
Esto huele a Anaya  yo MORENA Y NADA MAS,-1,,,,,,,,,,,,,,,,,
GUSTAVO ALMADA PONTE A CHAMBEAR PARA CONVENCER A LA GENTE,NO QUIERAS VERBEARLA NOMAS,YA NO HAY TONTOS,GASTA EL DINERO DE LA CAMPAÑA EN LAS C,-1,,,,,,,,,,,,,,
Puro PADELANTE le duela a Kien le duela le castre a Kien le castre con gustavo almada puro PADELANTE,1,,,,,,,,,,,,,,,,,
Presente!👏🏻👏🏻👏🏻👏🏻👏🏻esto empezó muy bien !  Para adelante !!!,1,,,,,,,,,,,,,,,,,
Muchas Felicidades Gustavo,1,,,,,,,,,,,,,,,,,
Excelente evento donde se demuestra el interés por el pueblo...Felicidades!!!,,,,,,,,,,,,,,,,,,
listos, terminando de trabajar y cholis  , para convivir con esto jóvenes vali3ntes como el águila que está en movimiento,1,,,,,,,,,,,,,,,
Sr. Almada, una pregunta. Usted cree que maynez apoyo la candidatura plurinominal del compadre de javier neblina panista, además amigo del e,1,,,,,,,,,,,,,,,
Avanzando avanzando .. Mi estimado Gustavo Almada.....vamos bien.. Saludos,1,,,,,,,,,,,,,,,,,
Listo y esperando que se llegue la hora  #puropadelante,1,,,,,,,,,,,,,,,,,
Exito en grande amigo Gustavo vamos #puro pa delate,1,,,,,,,,,,,,,,,,,
#puro para delante amigo Gustavo Almada !,1,,,,,,,,,,,,,,,,,
Ya estamos listos!,1,,,,,,,,,,,,,,,,,
Liiista!! Y emocionada!!,1,,,,,,,,,,,,,,,,,
Sr.enq parte y hora?,0,,,,,,,,,,,,,,,,,
"""Te Veo"",0",,,,,,,,,,,,,,,,,,
Listos!,0,,,,,,,,,,,,,,,,,
Ya estamos listo Sr. Gustavo Almada PURO PA'DELANTE,1,,,,,,,,,,,,,,,,,
estaba apuntada para ir por mi boleto. Pero  no va ser posible. Pero sigo estando bien almada con todo y familia.,1,,,,,,,,,,,,,,,,,
En que lugar de cocorit yo soy de cocorit,0,,,,,,,,,,,,,,,,,
Yo quiero boleto hasta que hora puedo ir,0,,,,,,,,,,,,,,,,,
Lástima que no podré ir... Éxito #EstamosAlmados!,1,,,,,,,,,,,,,,,,,
Yo kiero un boleto pero donde serán señ Almada,0,,,,,,,,,,,,,,,,,
QUIERO IR DONDE ME DAN UN BOLETO,0,,,,,,,,,,,,,,,,,
K Hora va hacer y donde,0,,,,,,,,,,,,,,,,,
"Pagué la luz, y cargué mi cilindro a rastras pa' echarle 50 pesos de gas...mi suculenta comida consistió en ""sopitas"" de tortillas con medio,0",,,,,,,,,,,,,,,,,,
Sería bueno mejor brindar el plato de comida, que un simple tortillero no cren. Digo, apliquenlo para sus próximas campañas...,0,,,,,,,,,,,,,,,
Provecho espero y todos los cajemnses tengan un plato de comida en su mesa para sus hijos  o ancianitos,1,,,,,,,,,,,,,,,,,
jefe nos está presumiendo o nos ESTÁ INVITANDO, provecho y bien alimentados seguimos en la pelea, derecha la flecha,1,,,,,,,,,,,,,,,
"Queremos el tortillero actual.
Provecho, me acordé de la vida en mi rancho.,1",,,,,,,,,,,,,,,,,,
"Buen provecho como se malpasa Sr. Jejejeje
un platito para las tarantas
Se ve muy rico.👌,1",,,,,,,,,,,,,,,,,,
Provecho Sr. Almada! Muy rico su plato de cosido..... Saludos,1,,,,,,,,,,,,,,,,,
Así es Sr. Julio Contreras Lo dice usted bien, el nefasto del famoso ruso fue el mismo que impulso y exprimio a manolo barro pésimo alcalde,,-1,,,,,,,,,,,,,,,
Provecho lider. Aqui en plano oriente comeremos pozole. Saludos,1,,,,,,,,,,,,,,,,,
Probecho hay q conseguir el.tortillero,1,,,,,,,,,,,,,,,,,
